05;7;62;004;A9920;0;Aechternkamp
05;7;62;004;B0010;0;Agathastraﬂe
05;7;62;004;B0010;0;Agathastraﬂe
05;7;62;004;B0010;0;Agathastraﬂe
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0020;0;Ahornweg
05;7;62;004;B0025;0;Akazienweg
05;7;62;004;B0025;0;Akazienweg
05;7;62;004;B0025;0;Akazienweg
05;7;62;004;B0025;0;Akazienweg
05;7;62;004;B3000;0;Alhauser Straﬂe
05;7;62;004;B3000;0;Alhauser Straﬂe
05;7;62;004;B3000;0;Alhauser Straﬂe
05;7;62;004;B3000;0;Alhauser Straﬂe
05;7;62;004;B3000;0;Alhauser Straﬂe
05;7;62;004;B3000;0;Alhauser Straﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B0030;0;Alleestraﬂe
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B1490;0;Allern
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;B2400;0;Alte Ziegelei
05;7;62;004;A9881;0;Altenbeken-Hannover
05;7;62;004;A9371;0;Altenbeken-Kreiensen
05;7;62;004;A9371;0;Altenbeken-Kreiensen
05;7;62;004;A9371;0;Altenbeken-Kreiensen
05;7;62;004;A9371;0;Altenbeken-Kreiensen
05;7;62;004;A9371;0;Altenbeken-Kreiensen
05;7;62;004;B2300;0;Altenbekener Straﬂe
05;7;62;004;B2300;0;Altenbekener Straﬂe
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B0035;0;Alter Graben
05;7;62;004;B2001;0;Alter Kirchplatz
05;7;62;004;B2001;0;Alter Kirchplatz
05;7;62;004;A9653;0;Altes Dorf
05;7;62;004;A9279;0;Am Aawasser
05;7;62;004;A9279;0;Am Aawasser
05;7;62;004;A9279;0;Am Aawasser
05;7;62;004;B0040;0;Am Aliserbett
05;7;62;004;B0040;0;Am Aliserbett
05;7;62;004;B0040;0;Am Aliserbett
05;7;62;004;B0040;0;Am Aliserbett
05;7;62;004;B0040;0;Am Aliserbett
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
05;7;62;004;B0050;0;Am Alten Postweg
